"age" "change_500" "change_800" "empl" "expect" "gender" "ger" "hours" "income" "job_ashamed" "job_boring" "job_interesting" "job_repetitive" "job_satisfied" "job_social_status" "job_stimulating" "job_unsatisfied" "time_change" "ubi_300" "ubi_500" "ubi_800" "what_income_300" "what_income_500" "what_income_800" "what_less_300" "what_less_500" "what_less_800" "what_time_300" "what_time_500" "what_time_800"
"107" "25-35" "0" "1" "1" "No change with UBI" "Female" "1" "40+" "30,000-45,000" "0" "0" "1" "0" "0" "1" "1" "1" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Other" NA NA NA NA "20%" NA NA "Other"
"108" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "40+" "30,000-45,000" "0" "0" "1" "0" "0" "0" "1" "1" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"109" "25-35" "1" "0" "1" "No change with UBI" "Male" "1" "40+" "60,000+" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for material goods" "Invest it" NA NA NA NA NA NA NA
"110" "25-35" "1" "1" "1" "No change with UBI" "Male" "1" "20-40" "45,000-60,000" "0" "1" "1" "0" "0" "0" "0" "1" NA "Work the same amount as now" "Work less" "Work less" "Other" NA NA NA "10-20%" "15" NA "Education" "Education"
"111" "25-35" "1" "0" "1" "No change with UBI" "Male" "1" "20-40" "60,000+" "0" "0" "1" "0" "0" "0" "1" "1" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Other" "Save it" NA NA NA NA NA NA NA
"112" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "10-20" "0-15,000" "0" "0" "1" "1" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Other" NA NA NA NA NA NA NA NA
"113" "25-35" "0" "0" "1" "Employed part-time, more chances of full-time employment with UBI" "Male" "1" "10-20" "0-15,000" "0" "0" "1" "0" "0" "0" "0" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"114" "18-25" "1" "1" "1" "Employed part-time, more chances of full-time employment with UBI" "Female" "1" "0-10" "0-15,000" "0" "0" "1" "0" "1" "0" "0" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for career development training" "Save it" "Spend it for material goods" NA NA "50%" NA NA "Education"
"115" "18-25" "1" "1" "1" "No change with UBI" "Female" "1" "20-40" "15,000-30,000" "0" "0" "0" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work less" "Work less" "Save it" NA NA NA "20-30%" "50" NA "Other" "Other"
"116" "18-25" "1" "1" "1" "No change with UBI" "Female" "1" "40+" "15,000-30,000" "0" "0" "1" "1" "0" "0" "0" "0" NA "Work the same amount as now" "Work less" "Work less" "Spend it for material goods" NA NA NA "20-30% reduction" "25%" NA "Education" "Education"
"117" "35-45" "0" "1" "1" "No change with UBI" "Female" "1" "20-40" "45,000-60,000" "0" "0" "1" "0" "0" "0" "1" "1" NA "Work less" "Work less" "Work less" NA NA NA "10-20%" NA "20%" "Education" NA "Education"
"118" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "40+" "60,000+" "0" "0" "0" "0" "0" "1" "0" "1" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Other" NA NA NA NA NA NA NA NA
"119" "25-35" "1" "0" "1" "Unemployed, more chances of part-time employment with UBI" "Female" "1" "10-20" "0-15,000" "0" "0" "0" "1" "0" "0" "0" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for career development training" "Save it" NA NA NA NA NA NA NA
"120" "25-35" "1" "1" "1" "No change with UBI" "Female" "1" "40+" "60,000+" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Invest it" "Spent it for material goods" NA NA NA "15%" NA NA "Other"
"121" "18-25" "0" "1" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "0" "0" "1" "1" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Spend it for career development training" NA NA NA NA "10" NA NA "Other"
"122" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "40+" "15,000-30,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work less" "Work less" "Work less" NA NA NA "10-20%" NA NA "Other" NA NA
"123" "25-35" "0" "0" "1" "No change with UBI" "Male" "0" "20-40" "60,000+" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"124" "25-35" "1" "1" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "1" "0" "0" "0" "0" "0" "1" NA "Work the same amount as now" "Work less" "Work less" "Invest it" NA NA NA "30-40%" "50%" NA "Other" "Other"
"125" "25-35" "0" "1" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "0" "0" "0" "1" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Other" NA NA NA NA "25%" NA NA "Education"
"126" "25-35" "1" "0" "1" "No change with UBI" "Male" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work less" "Work less" "Save it" NA NA NA "20-30%" NA NA "Other" NA
"127" "18-25" "0" "1" "1" "No change with UBI" "Female" "1" "10-20" "15,000-30,000" "0" "1" "0" "1" "0" "1" "0" "1" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Save it" NA NA NA NA "10%" NA NA "Other"
"128" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "20-40" "15,000-30,000" "0" "0" "1" "1" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"129" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "60,000+" "0" "0" "1" "0" "0" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"130" "25-35" "1" "1" "1" "No change with UBI" "Male" "1" "20-40" "45,000-60,000" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Other" "Spend it for career development training" "Spend it for material goods" NA NA "20%" NA NA "Other"
"131" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "60,000+" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"132" "25-35" "0" "0" "1" "Employed part-time, more chances of full-time employment with UBI" "Male" "1" "10-20" "15,000-30,000" "0" "1" "0" "1" "0" "0" "0" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"133" "25-35" "0" "1" "1" "Employed part-time, more chances of full-time employment with UBI" "Male" "1" "0-10" "0-15,000" "0" "0" "1" "0" "0" "1" "0" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work less" "Spend it for career development training" NA NA NA NA "25%" NA NA "Education"
"134" "18-25" "0" "0" "1" "No change with UBI" "Male" "1" "10-20" "0-15,000" "0" "0" "1" "0" "0" "0" "1" "1" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for career development training" NA NA NA NA NA NA NA NA
"135" "25-35" "1" "0" "1" "No change with UBI" "Female" "1" "20-40" "15,000-30,000" "0" "0" "1" "0" "0" "0" "0" "0" NA "Work the same amount as now" "Work less" "Work less" "Other" NA NA NA "10-20%" NA NA "Other" NA
"136" "18-25" "0" "0" "1" "No change with UBI" "Male" "1" "10-20" "0-15,000" "0" "0" "1" "0" "0" "0" "1" "1" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for material goods" NA NA NA NA NA NA NA NA
"137" "25-35" "1" "1" "1" "Unemployed, more chances of full-time employment with UBI" "Male" "1" "20-40" "0-15,000" "0" "0" "1" "0" "0" "0" "0" "0" "Over the next few months" "Work the same amount as now" "Work less" "Work less" "Save it" NA NA NA "10-20%" "25%" NA "Other" "Other"
"138" "25-35" "0" "1" "1" "Unemployed, more chances of full-time employment with UBI" "Female" "1" "20-40" "15,000-30,000" "0" "0" "0" "1" "0" "0" "0" "0" "Within the next 12 months" "Work less" "Work less" "Work less" NA NA NA "20-30%" NA "25%" "Education" NA "Education"
